id,type,source,question,ideal_answer,hypothetical_answer,generated_answer,retrieved_context,hyde_latency_s,answer_latency_s,total_latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q026,semantic,reference/authentication.md; guides/payments_flow.md; guides/security_guide.md; reference/architecture_overview.md,What is the difference between a secret key and a publishable key?,Secret keys have full API access and must be stored server-side. Publishable keys are read-only and safe for frontend use — they can tokenize payment methods but cannot create payments directly.,"A publishable key is used in client-side code to identify your account and initiate requests, while a secret key is used on the server-side to authorize sensitive operations. You should never expose your secret key in a browser or mobile app, as it grants full administrative access to your account.","The differences between a secret key and a publishable key are as follows:

*   **Publishable Key:**
    *   **Usage:** Used in the frontend (browser/app) to tokenize card data or payment methods and for read operations [1, 2, 3, 4].
    *   **Security:** Safe to embed in frontend JavaScript or mobile apps and visible to end users by design [2, 3].
    *   **Capabilities:** Limited to read operations and payment method tokenization; it cannot create a payment directly [2, 4].
    *   **Prefix:** `pk_live_` or `pk_test_` [3, 4].

*   **Secret Key:**
    *   **Usage:** Used exclusively on the backend to create and manage payments [1, 3].
    *   **Security:** Must be stored securely on the server and never exposed to clients, frontend code, or public repositories [1, 3, 4, 5].
    *   **Capabilities:** Has full API access, including the ability to create payments, issue refunds, manage subscriptions, and access reports [4, 5].
    *   **Prefix:** `sk_live_` or `sk_test_` [3, 4].","[""- **Publishable key** — safe to embed in frontend code; used only to tokenize card data.\n- **Secret key** — must never leave your backend; used to create and manage payments."", ""**Publishable keys** are limited to read operations and payment method tokenization. They are safe to embed in frontend JavaScript or mobile apps. A publishable key cannot create a payment directly — it can only create a payment method token, which your server then uses with the secret key."", ""| Key Type | Prefix | Where to use | Who can see it |\n|----------|--------|--------------|----------------|\n| Publishable key | `pk_live_` / `pk_test_` | Frontend (browser/app) | Visible to end users — safe by design |\n| Secret key | `sk_live_` / `sk_test_` | Backend only | **Must never be exposed** |"", ""- **Secret keys** (`sk_live_...` or `sk_test_...`): Full access. Never expose in client-side code or public repositories.\n- **Publishable keys** (`pk_live_...` or `pk_test_...`): Read-only, safe for frontend use. Can tokenize payment methods."", ""**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.""]",1.483,6.944,8.427,478,335,813,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00175399,0.7493,0.0021432
Q027,semantic,guides/pagination_advanced.md; reference/pagination_filtering.md; guides/metadata_guide.md; guides/api_versioning.md,Why does NexusPay use cursor-based pagination instead of offset pagination?,Offset pagination has a problem with real-time data: new items shift positions causing duplicates or skipped items. Cursor pagination avoids this by tracking exact position.,"NexusPay utilizes cursor-based pagination to ensure consistent data retrieval and improved performance on large datasets, avoiding the ""skipping"" or ""duplicating"" of items that occurs with offset pagination when records are added or removed. This approach provides a stable pointer to the last retrieved element, resulting in constant-time lookup regardless of the page depth.","NexusPay uses cursor-based pagination because it is more reliable than offset pagination for real-time data and large datasets [1]. Specifically, offset pagination has a fundamental problem with real-time data where the creation of a new payment between requests can cause items to shift positions, leading to skipped items or duplicates—an issue that cursor pagination avoids entirely [3].","[""All list endpoints in NexusPay use cursor-based pagination. This approach is more reliable than offset pagination for large datasets and real-time data."", ""NexusPay uses cursor-based pagination across all list endpoints. This guide covers patterns for fetching all records in a loop, terminating iteration correctly, staying within rate limits during bulk fetches, and running parallel paginated queries."", ""Offset pagination (`?page=2&per_page=10`) has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely."", ""This is particularly useful for support tooling and reconciliation scripts that need to look up a payment by your own internal reference rather than the NexusPay payment ID."", ""- [ ] Update base URL from `https://api.nexuspay.eu/v1` to `https://api.nexuspay.eu/v2`\n- [ ] Replace offset-based pagination with cursor-based pagination across all list calls\n- [ ] Ensure all `amount` fields are integers in the smallest currency unit\n- [ ] Test all flows in the sandbox with v2 endpoints before switching production traffic\n- [ ] Remove any code that reads `total_count` or `offset` from list responses (no longer present in v2)\n- [ ] Update SDK to a version that targets v2 (refer to your SDK's changelog)\n- [ ] Set a calendar reminder to complete migration before **2026-01-15**""]",1.731,1.973,3.704,510,143,653,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00077095,0.7493,0.0013432
Q028,semantic,reference/architecture_overview.md; guides/auth_capture_flow.md; guides/testing_guide.md,How does the authorization and capture flow work?,"By default, POST /payments authorizes and captures in one step. Setting capture: false authorizes only, holding funds for up to 7 days. You then call POST /payments/:id/capture to complete.","The authorization flow first verifies available funds and places a temporary hold on the customer's account to ensure payment viability. Once the order is fulfilled or shipped, the capture request is sent to permanently transfer those held funds from the customer to the merchant.","The authorization and capture flow works as follows:

*   **Authorization:** By default, `POST /payments` performs both authorization and capture in one step. However, for delayed fulfillment or marketplaces, you can set `capture: false` to authorize only. This places a hold on the customer's funds for up to 7 days, after which the authorization expires automatically.
*   **Capture:** Once the final amount is known, you can capture the authorization. You are permitted to capture the full authorized amount or a lesser amount, but you cannot capture more than what was originally authorized.","[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:"", ""To test authorization and capture flows, create a payment with `capture: false` using any success card. See `docs/guides/auth_capture_flow.md`."", ""To verify that an authorization is still valid before capturing, retrieve the payment:"", ""When you know the final amount, capture the authorization. You may capture the full authorized amount or a lesser amount — you cannot capture more than the original authorization.""]",1.247,3.06,4.307,353,171,524,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00089645,0.7493,0.0012466
Q029,semantic,guides/security_guide.md; guides/webhooks_guide.md; guides/payments_flow.md; reference/architecture_overview.md; guides/going_live_checklist.md,Can I rely on webhooks as the primary confirmation of a payment?,No. Webhook delivery is asynchronous and can be delayed up to 30 seconds. Always confirm payment status via the API directly.,"No, webhooks should not be the sole source of truth because they are asynchronous and can be delayed or fail to deliver. To ensure data integrity, use webhooks to trigger updates but always perform a server-to-server API call to verify the payment status before fulfilling an order.","No, you should never rely on webhooks as the primary source of truth; you should always confirm payment status via the API.","[""**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API."", ""Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably."", ""For most card payments, the `status` in the synchronous API response is definitive. However, for certain payment methods, the outcome may be delivered asynchronously via the `payment.succeeded` or `payment.failed` webhook event. Implement webhook handling as described in `docs/guides/webhooks_guide.md` to handle these cases."", ""- [ ] **HTTPS endpoint only**: Your production webhook URL must use HTTPS. HTTP endpoints are rejected. The URL must not exceed **2048 characters**.\n- [ ] **Signature verification implemented**: Every incoming webhook must have its HMAC-SHA256 signature verified before being processed. See `docs/guides/webhooks_guide.md`.\n- [ ] **Timestamp validation active**: Reject webhook events with an `X-NexusPay-Timestamp` more than 5 minutes old to prevent replay attacks.\n- [ ] **Live webhook secret configured**: The sandbox and production webhook secrets are different. Reconfigure your application to use the live webhook secret retrieved from the Dashboard.\n- [ ] **Idempotent webhook handlers**: Your handlers correctly deduplicate events by persisting processed event IDs."", ""- Attackers can forge fake webhook events to trigger unintended actions (e.g., marking an order as paid without a real payment).\n- Replayed legitimate events can cause duplicate processing.""]",1.442,0.86,2.302,583,85,668,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00047914,0.7493,0.0011902
Q030,semantic,reference/authentication.md; reference/architecture_overview.md; guides/security_guide.md,How should I rotate API keys without downtime?,"Create the new key, deploy the application with it, then revoke the old key. Revoking is immediate and irreversible.","Implement a ""grace period"" by generating a new API key while keeping the old one active. Once all client applications have updated to the new key, revoke the old one to complete the rotation.","To rotate API keys without downtime, you can create multiple API keys per account and assign them different permission scopes [1]. The process is as follows:

1. Create a new key [3].
2. Update your application's environment variable or secrets manager entry [2] and deploy the updated configuration [2] (or deploy your application with the new key [3]).
3. Revoke the old key only after confirming the new key is serving production traffic successfully [2] (or simply revoke the old key [3]).","[""You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:"", ""1. Update your application's environment variable or secrets manager entry.\n2. Deploy the updated configuration.\n3. Revoke the old key only after confirming the new key is serving production traffic successfully."", ""1. Create a new key\n2. Deploy your application with the new key\n3. Revoke the old key"", ""Rotate your secret key immediately if you suspect it has been compromised. In the Dashboard under **Developers → API Keys**, you can issue a new key. After issuing the new key:"", ""Keys expire after **24 hours**. After expiration, the same key can be reused for a new operation.""]",1.006,2.776,3.782,321,150,471,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00078718,0.7493,0.0011094
Q031,semantic,reference/architecture_overview.md; guides/error_handling_guide.md; guides/idempotency_guide.md,What happens if I submit the same idempotency key twice with different parameters?,The API returns HTTP 409 with error code idempotency_key_mismatch.,"If you submit the same idempotency key with different parameters, the server will return a `400 Bad Request` or `409 Conflict` error. This prevents accidental duplicate requests from executing with inconsistent data.","If you submit the same idempotency key twice with different parameters, the API returns an HTTP 409 Conflict error with the error code `idempotency_key_mismatch`.","[""If you submit an idempotency key that matches a previous request but with different parameters, the API returns HTTP 409 with error code `idempotency_key_mismatch`."", ""If you submit a request with an idempotency key that was previously used for a **different set of request parameters**, NexusPay returns a `409 Conflict` error:"", ""{\n  \""error\"": {\n    \""code\"": \""idempotency_key_mismatch\"",\n    \""message\"": \""This idempotency key was previously used with different request parameters. Generate a new key.\""\n  }\n}\n```"", ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`."", ""**Idempotency first.** Every write operation accepts an `idempotency_key` parameter. If the same key is submitted twice, the second request returns the result of the first without creating a duplicate. This is critical for payment systems where network failures can cause retries.""]",1.127,1.086,2.213,435,84,519,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00046061,0.7493,0.0009786
Q032,semantic,guides/pagination_advanced.md; reference/pagination_filtering.md; guides/reporting_guide.md,How do I paginate through all succeeded EUR payments from Q1 2025?,"Use GET /payments with filters status=succeeded, currency=EUR, from=2025-01-01, to=2025-03-31, limit=100. Use the next_cursor from each response as starting_after until has_more is false.","Use the `GET /payments` endpoint with the filters `status=succeeded`, `currency=EUR`, and the date range for Q1 2025. To retrieve all records, implement a loop that requests the next page using the `starting_after` parameter provided in the current response's cursor.","To paginate through all succeeded EUR payments from Q1 2025, you can use the following request:

`GET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100`","[""**Step 2 — Retrieve individual payments for the same period:**\n```\nGET /payments?created_after=2025-06-01T00:00:00Z&created_before=2025-06-30T23:59:59Z&currency=EUR&status=succeeded\n```"", ""```\nGET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100\n```"", ""# Example: fetch all EUR payments in June\npayments = fetch_all_payments({\n    \""currency\"": \""EUR\"",\n    \""created_after\"": \""2025-06-01T00:00:00Z\"",\n    \""created_before\"": \""2025-06-30T23:59:59Z\"",\n    \""status\"": \""succeeded\""\n})\n```"", ""| Approach | Use case | Endpoint |\n|----------|---------|----------|\n| **Reports API** | Aggregated totals, periodic summaries, accounting exports | `GET /reports/summary` |\n| **List endpoints** | Individual transaction details, filtering, reconciliation | `GET /payments`, `GET /refunds` |"", ""For most accounting workflows, start with the Reports API to get period totals, then use list endpoints to retrieve the underlying transactions if line-item detail is required.""]",1.629,1.918,3.547,520,137,657,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00073827,0.7493,0.0013308
Q033,semantic,reference/authentication.md; guides/subscriptions_guide.md; reference/rate_limits.md; guides/reporting_guide.md,What scopes are available for API keys on Pro and Enterprise plans?,"payments:read, payments:write, refunds:write, subscriptions, reports:read, webhooks. Scoped keys are not available on Free or Starter plans.","Pro and Enterprise plans provide access to `read`, `write`, and `admin` scopes, allowing for granular control over resource access. Detailed definitions for each scope can be found in the **API Reference** section of our documentation.","The available scopes for API keys on Pro and Enterprise plans are:
* `payments:read`
* `payments:write`
* `refunds:write`
* `subscriptions`
* `reports:read`
* `webhooks`","[""On Pro and Enterprise plans, API keys can be scoped to specific operations:"", ""| Scope              | Operations allowed                        |\n|--------------------|-------------------------------------------|\n| `payments:read`    | GET /payments, GET /payments/:id          |\n| `payments:write`   | POST /payments, capture, cancel           |\n| `refunds:write`    | POST /refunds                             |\n| `subscriptions`    | All subscription endpoints                |\n| `reports:read`     | GET /reports/*                            |\n| `webhooks`         | All webhook endpoints                     |"", ""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""| Approach | Use case | Endpoint |\n|----------|---------|----------|\n| **Reports API** | Aggregated totals, periodic summaries, accounting exports | `GET /reports/summary` |\n| **List endpoints** | Individual transaction details, filtering, reconciliation | `GET /payments`, `GET /refunds` |"", ""Plans define the recurring charge amount and interval. Create plans once and reuse them across many subscriptions.""]",1.175,1.508,2.683,540,101,641,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00055844,0.7493,0.0012004
Q034,semantic,guides/testing_guide.md; reference/architecture_overview.md; guides/payments_flow.md; reference/authentication.md,How does NexusPay determine which environment a request goes to?,"By the API key prefix, not the URL. Keys starting with sk_test_ route to sandbox, sk_live_ to live — both use the same base URL.",NexusPay determines the target environment by analyzing the `Environment-ID` header included in the API request. This identifier is cross-referenced against the system's routing table to direct the traffic to either the Sandbox or Production cluster.,"Based on the provided text, there is no information explaining how NexusPay determines which environment a request goes to.","[""NexusPay provides a fully isolated sandbox environment that mirrors production behaviour without processing real money. This guide explains how to use test card numbers, trigger specific error scenarios, and test your webhook handlers."", ""NexusPay is a payment processing API designed for European businesses. It handles the full payment lifecycle: authorization, capture, settlement, refunds, and recurring billing through subscriptions."", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""For local development, use a tunnelling tool such as `ngrok` or `cloudflared` to expose your localhost server to NexusPay's sandbox:"", ""This guide walks through the complete end-to-end flow for accepting a card payment using NexusPay — from securely collecting card details on the frontend to confirming the payment result on the backend.""]",1.175,0.668,1.843,339,70,409,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.0003836,0.7493,0.0007826
Q035,semantic,reference/endpoints.md; guides/customers_guide.md; guides/subscriptions_guide.md,What happens to active subscriptions if I delete a customer?,Deleting a customer does not cancel their active subscriptions. You must cancel subscriptions explicitly before deleting the customer.,"Deleting a customer will automatically cancel all associated active subscriptions to prevent further billing. However, historical subscription data is retained in the system for reporting and auditing purposes.",Deleting a customer does not automatically cancel their active subscriptions.,"[""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""**Always cancel all active subscriptions before deleting a customer:**"", ""Deleting a customer does not affect historical payment records — past payments remain accessible via their payment IDs."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:""]",0.814,0.378,1.192,292,44,336,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.0002481,0.7493,0.0006024
