id,type,source,question,ideal_answer,generated_answer,retrieved_context,retrieval_method,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q001,deterministic,api_facts,How many requests per minute can a Pro plan make?,"1,000 requests per minute",A Pro plan can make 1000 requests per minute.,"[""{\""plan\"": \""pro\"", \""limit\"": 1000, \""window\"": \""minute\""}""]",router_lookup,1.467,79,15,94,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00030534,0.7493,0.0001766
Q002,deterministic,api_facts,What is the rate limit for Free plan users per day?,"1,000 requests per day",The rate limit for Free plan users is 1000 per day.,"[""{\""plan\"": \""free\"", \""limit\"": 1000, \""window\"": \""day\""}""]",router_lookup,0.45,80,17,97,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,9.366e-05,0.7493,0.0001868
Q003,deterministic,api_facts,How many webhook endpoints can a Starter plan configure?,10 webhook endpoints,A Starter plan can configure 10 webhook endpoints.,"[""{\""plan\"": \""starter\"", \""limit\"": 10}""]",router_lookup,0.33,70,12,82,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,6.869e-05,0.7493,0.0001508
Q004,deterministic,api_facts,What is the burst limit for the Enterprise plan?,"20,000 requests in a 10-second burst window",20000,"[""{\""plan\"": \""enterprise\"", \""limit\"": 20000, \""window\"": \""10s\""}""]",router_lookup,0.186,81,6,87,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,3.871e-05,0.7493,0.0001398
Q005,deterministic,api_facts,How many refunds can I create per payment?,Maximum 5 refunds per payment,You can create 5 refunds per payment.,"[""{\""unit\"": \""refunds_per_payment\"", \""limit\"": 5}""]",router_lookup,0.281,73,10,83,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,5.849e-05,0.7493,0.0001462
Q006,deterministic,api_facts,Within how many days must a refund be created after the original payment?,180 days,180 days,"[""{\""unit\"": \""days\"", \""limit\"": 180}""]",router_lookup,0.163,75,5,80,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,3.393e-05,0.7493,0.000127
Q007,deterministic,api_facts,What is the minimum amount for a partial refund?,50 cents,The provided text does not contain information regarding the minimum amount for a partial refund.,"[""{\""unit\"": \""cents\"", \""limit\"": 50}""]",router_lookup,0.449,70,17,87,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,9.345e-05,0.7493,0.0001728
Q008,deterministic,api_facts,How long is the capture window for an authorized payment?,7 days,The capture window for an authorized payment is 7 days.,"[""{\""unit\"": \""days\"", \""limit\"": 7}""]",router_lookup,0.353,70,13,83,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,7.347e-05,0.7493,0.0001552
Q009,deterministic,api_facts,What currencies does NexusPay support?,"EUR, USD, GBP, CHF, SEK, NOK, DKK",The provided text does not mention NexusPay.,"[""{\""currencies\"": [\""EUR\"", \""USD\"", \""GBP\"", \""CHF\"", \""SEK\"", \""NOK\"", \""DKK\""]}""]",router_lookup,0.281,81,10,91,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,5.849e-05,0.7493,0.0001574
Q010,deterministic,api_facts,What is the maximum number of metadata keys allowed per payment?,"50 key-value pairs, with keys up to 40 characters",50,"[""{\""max_keys\"": 50, \""max_key_length\"": 40}""]",router_lookup,0.108,79,3,82,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,2.248e-05,0.7493,0.0001238
Q011,deterministic,api_facts,What is the maximum trial period for a subscription?,90 days,The maximum trial period for a subscription is 90 days.,"[""{\""unit\"": \""days\"", \""limit\"": 90}""]",router_lookup,0.37,70,14,84,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,7.701e-05,0.7493,0.0001596
Q012,deterministic,api_facts,What HTTP status code does the API return when the rate limit is exceeded?,HTTP 429,429,"[""{\""code\"": \""rate_limit_exceeded\"", \""http_status\"": 429}""]",router_lookup,0.134,83,4,87,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,2.789e-05,0.7493,0.0001338
Q013,deterministic,api_facts,What error code is returned when an API key has been revoked?,revoked_api_key,revoked_api_key,"[""{\""code\"": \""revoked_api_key\"", \""http_status\"": 401}""]",router_lookup,0.204,81,7,88,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,4.246e-05,0.7493,0.0001442
Q014,deterministic,api_facts,What error code is returned when a refund exceeds the 180-day window?,refund_window_expired,The provided text does not contain information regarding a 180-day window.,"[""{\""code\"": \""refund_window_expired\"", \""http_status\"": 422}""]",router_lookup,0.465,85,18,103,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,9.678e-05,0.7493,0.0001982
Q015,deterministic,api_facts,What is the current API version?,"v2, released on 2025-01-15",v2,"[""{\""version\"": \""v2\"", \""released\"": \""2025-01-15\""}""]",router_lookup,0.103,76,3,79,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,2.144e-05,0.7493,0.0001196
Q016,deterministic,api_facts,When will API v1 be sunset?,2026-01-15,2026-01-15,"[""{\""sunset\"": \""2026-01-15\"", \""version\"": \""v1\"", \""deprecated\"": \""2025-07-01\""}""]",router_lookup,0.3,92,11,103,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,6.244e-05,0.7493,0.0001772
Q017,deterministic,api_facts,What is the maximum page size when listing payments?,100 items per page,100,"[""{\""max\"": 100, \""default\"": 10}""]",router_lookup,0.127,72,4,76,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,2.643e-05,0.7493,0.0001184
Q018,deterministic,api_facts,How many times does NexusPay retry a failed webhook delivery?,"Up to 5 times with exponential backoff: 1min, 5min, 30min, 2h, 8h",The provided text does not mention NexusPay.,"[""{\""backoff\"": [\""1min\"", \""5min\"", \""30min\"", \""2h\"", \""8h\""], \""retries\"": 5}""]",router_lookup,0.275,91,10,101,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,5.724e-05,0.7493,0.0001714
