user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the difference between a secret key and a publishable key?,"['- **Publishable key** — safe to embed in frontend code; used only to tokenize card data.\n- **Secret key** — must never leave your backend; used to create and manage payments.', '**Publishable keys** are limited to read operations and payment method tokenization. They are safe to embed in frontend JavaScript or mobile apps. A publishable key cannot create a payment directly — it can only create a payment method token, which your server then uses with the secret key.', '| Key Type | Prefix | Where to use | Who can see it |\n|----------|--------|--------------|----------------|\n| Publishable key | `pk_live_` / `pk_test_` | Frontend (browser/app) | Visible to end users — safe by design |\n| Secret key | `sk_live_` / `sk_test_` | Backend only | **Must never be exposed** |', '- **Secret keys** (`sk_live_...` or `sk_test_...`): Full access. Never expose in client-side code or public repositories.\n- **Publishable keys** (`pk_live_...` or `pk_test_...`): Read-only, safe for frontend use. Can tokenize payment methods.', '**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.']","The differences between a secret key and a publishable key are as follows:

*   **Publishable Key:**
    *   **Usage:** Used in the frontend (browser/app) to tokenize card data or payment methods and for read operations [1, 2, 3, 4].
    *   **Security:** Safe to embed in frontend JavaScript or mobile apps and visible to end users by design [2, 3].
    *   **Capabilities:** Limited to read operations and payment method tokenization; it cannot create a payment directly [2, 4].
    *   **Prefix:** `pk_live_` or `pk_test_` [3, 4].

*   **Secret Key:**
    *   **Usage:** Used exclusively on the backend to create and manage payments [1, 3].
    *   **Security:** Must be stored securely on the server and never exposed to clients, frontend code, or public repositories [1, 3, 4, 5].
    *   **Capabilities:** Has full API access, including the ability to create payments, issue refunds, manage subscriptions, and access reports [4, 5].
    *   **Prefix:** `sk_live_` or `sk_test_` [3, 4].",Secret keys have full API access and must be stored server-side. Publishable keys are read-only and safe for frontend use — they can tokenize payment methods but cannot create payments directly.,1.0,0.9283206072811169,0.99999999998,1.0
Why does NexusPay use cursor-based pagination instead of offset pagination?,"['All list endpoints in NexusPay use cursor-based pagination. This approach is more reliable than offset pagination for large datasets and real-time data.', 'NexusPay uses cursor-based pagination across all list endpoints. This guide covers patterns for fetching all records in a loop, terminating iteration correctly, staying within rate limits during bulk fetches, and running parallel paginated queries.', 'Offset pagination (`?page=2&per_page=10`) has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely.', 'This is particularly useful for support tooling and reconciliation scripts that need to look up a payment by your own internal reference rather than the NexusPay payment ID.', ""- [ ] Update base URL from `https://api.nexuspay.eu/v1` to `https://api.nexuspay.eu/v2`\n- [ ] Replace offset-based pagination with cursor-based pagination across all list calls\n- [ ] Ensure all `amount` fields are integers in the smallest currency unit\n- [ ] Test all flows in the sandbox with v2 endpoints before switching production traffic\n- [ ] Remove any code that reads `total_count` or `offset` from list responses (no longer present in v2)\n- [ ] Update SDK to a version that targets v2 (refer to your SDK's changelog)\n- [ ] Set a calendar reminder to complete migration before **2026-01-15**""]","NexusPay uses cursor-based pagination because it is more reliable than offset pagination for real-time data and large datasets [1]. Specifically, offset pagination has a fundamental problem with real-time data where the creation of a new payment between requests can cause items to shift positions, leading to skipped items or duplicates—an issue that cursor pagination avoids entirely [3].",Offset pagination has a problem with real-time data: new items shift positions causing duplicates or skipped items. Cursor pagination avoids this by tracking exact position.,1.0,0.9106374227726388,0.99999999998,1.0
How does the authorization and capture flow work?,"[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:"", 'To test authorization and capture flows, create a payment with `capture: false` using any success card. See `docs/guides/auth_capture_flow.md`.', 'To verify that an authorization is still valid before capturing, retrieve the payment:', 'When you know the final amount, capture the authorization. You may capture the full authorized amount or a lesser amount — you cannot capture more than the original authorization.']","The authorization and capture flow works as follows:

*   **Authorization:** By default, `POST /payments` performs both authorization and capture in one step. However, for delayed fulfillment or marketplaces, you can set `capture: false` to authorize only. This places a hold on the customer's funds for up to 7 days, after which the authorization expires automatically.
*   **Capture:** Once the final amount is known, you can capture the authorization. You are permitted to capture the full authorized amount or a lesser amount, but you cannot capture more than what was originally authorized.","By default, POST /payments authorizes and captures in one step. Setting capture: false authorizes only, holding funds for up to 7 days. You then call POST /payments/:id/capture to complete.",1.0,0.7072687991900157,0.99999999998,1.0
Can I rely on webhooks as the primary confirmation of a payment?,"['**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API.', 'Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably.', 'For most card payments, the `status` in the synchronous API response is definitive. However, for certain payment methods, the outcome may be delivered asynchronously via the `payment.succeeded` or `payment.failed` webhook event. Implement webhook handling as described in `docs/guides/webhooks_guide.md` to handle these cases.', '- [ ] **HTTPS endpoint only**: Your production webhook URL must use HTTPS. HTTP endpoints are rejected. The URL must not exceed **2048 characters**.\n- [ ] **Signature verification implemented**: Every incoming webhook must have its HMAC-SHA256 signature verified before being processed. See `docs/guides/webhooks_guide.md`.\n- [ ] **Timestamp validation active**: Reject webhook events with an `X-NexusPay-Timestamp` more than 5 minutes old to prevent replay attacks.\n- [ ] **Live webhook secret configured**: The sandbox and production webhook secrets are different. Reconfigure your application to use the live webhook secret retrieved from the Dashboard.\n- [ ] **Idempotent webhook handlers**: Your handlers correctly deduplicate events by persisting processed event IDs.', '- Attackers can forge fake webhook events to trigger unintended actions (e.g., marking an order as paid without a real payment).\n- Replayed legitimate events can cause duplicate processing.']","No, you should never rely on webhooks as the primary source of truth; you should always confirm payment status via the API.",No. Webhook delivery is asynchronous and can be delayed up to 30 seconds. Always confirm payment status via the API directly.,1.0,0.9322265095989271,0.99999999998,1.0
How should I rotate API keys without downtime?,"['You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:', ""1. Update your application's environment variable or secrets manager entry.\n2. Deploy the updated configuration.\n3. Revoke the old key only after confirming the new key is serving production traffic successfully."", '1. Create a new key\n2. Deploy your application with the new key\n3. Revoke the old key', 'Rotate your secret key immediately if you suspect it has been compromised. In the Dashboard under **Developers → API Keys**, you can issue a new key. After issuing the new key:', 'Keys expire after **24 hours**. After expiration, the same key can be reused for a new operation.']","To rotate API keys without downtime, you can create multiple API keys per account and assign them different permission scopes [1]. The process is as follows:

1. Create a new key [3].
2. Update your application's environment variable or secrets manager entry [2] and deploy the updated configuration [2] (or deploy your application with the new key [3]).
3. Revoke the old key only after confirming the new key is serving production traffic successfully [2] (or simply revoke the old key [3]).","Create the new key, deploy the application with it, then revoke the old key. Revoking is immediate and irreversible.",0.8333333333333334,0.975670766562631,0.99999999998,0.75
What happens if I submit the same idempotency key twice with different parameters?,"['If you submit an idempotency key that matches a previous request but with different parameters, the API returns HTTP 409 with error code `idempotency_key_mismatch`.', 'If you submit a request with an idempotency key that was previously used for a **different set of request parameters**, NexusPay returns a `409 Conflict` error:', '{\n  ""error"": {\n    ""code"": ""idempotency_key_mismatch"",\n    ""message"": ""This idempotency key was previously used with different request parameters. Generate a new key.""\n  }\n}\n```', 'Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`.', '**Idempotency first.** Every write operation accepts an `idempotency_key` parameter. If the same key is submitted twice, the second request returns the result of the first without creating a duplicate. This is critical for payment systems where network failures can cause retries.']","If you submit the same idempotency key twice with different parameters, the API returns an HTTP 409 Conflict error with the error code `idempotency_key_mismatch`.",The API returns HTTP 409 with error code idempotency_key_mismatch.,1.0,0.9935092528455677,0.99999999998,1.0
How do I paginate through all succeeded EUR payments from Q1 2025?,"['**Step 2 — Retrieve individual payments for the same period:**\n```\nGET /payments?created_after=2025-06-01T00:00:00Z&created_before=2025-06-30T23:59:59Z&currency=EUR&status=succeeded\n```', '```\nGET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100\n```', '# Example: fetch all EUR payments in June\npayments = fetch_all_payments({\n    ""currency"": ""EUR"",\n    ""created_after"": ""2025-06-01T00:00:00Z"",\n    ""created_before"": ""2025-06-30T23:59:59Z"",\n    ""status"": ""succeeded""\n})\n```', '| Approach | Use case | Endpoint |\n|----------|---------|----------|\n| **Reports API** | Aggregated totals, periodic summaries, accounting exports | `GET /reports/summary` |\n| **List endpoints** | Individual transaction details, filtering, reconciliation | `GET /payments`, `GET /refunds` |', 'For most accounting workflows, start with the Reports API to get period totals, then use list endpoints to retrieve the underlying transactions if line-item detail is required.']","To paginate through all succeeded EUR payments from Q1 2025, you can use the following request:

`GET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100`","Use GET /payments with filters status=succeeded, currency=EUR, from=2025-01-01, to=2025-03-31, limit=100. Use the next_cursor from each response as starting_after until has_more is false.",1.0,0.9981424533101318,0.99999999998,
What scopes are available for API keys on Pro and Enterprise plans?,"['On Pro and Enterprise plans, API keys can be scoped to specific operations:', '| Scope              | Operations allowed                        |\n|--------------------|-------------------------------------------|\n| `payments:read`    | GET /payments, GET /payments/:id          |\n| `payments:write`   | POST /payments, capture, cancel           |\n| `refunds:write`    | POST /refunds                             |\n| `subscriptions`    | All subscription endpoints                |\n| `reports:read`     | GET /reports/*                            |\n| `webhooks`         | All webhook endpoints                     |', '| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |', '| Approach | Use case | Endpoint |\n|----------|---------|----------|\n| **Reports API** | Aggregated totals, periodic summaries, accounting exports | `GET /reports/summary` |\n| **List endpoints** | Individual transaction details, filtering, reconciliation | `GET /payments`, `GET /refunds` |', 'Plans define the recurring charge amount and interval. Create plans once and reuse them across many subscriptions.']","The available scopes for API keys on Pro and Enterprise plans are:
* `payments:read`
* `payments:write`
* `refunds:write`
* `subscriptions`
* `reports:read`
* `webhooks`","payments:read, payments:write, refunds:write, subscriptions, reports:read, webhooks. Scoped keys are not available on Free or Starter plans.",0.8333333333333334,0.9955372650085443,0.999999999975,1.0
How does NexusPay determine which environment a request goes to?,"['NexusPay provides a fully isolated sandbox environment that mirrors production behaviour without processing real money. This guide explains how to use test card numbers, trigger specific error scenarios, and test your webhook handlers.', 'NexusPay is a payment processing API designed for European businesses. It handles the full payment lifecycle: authorization, capture, settlement, refunds, and recurring billing through subscriptions.', 'NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header.', ""For local development, use a tunnelling tool such as `ngrok` or `cloudflared` to expose your localhost server to NexusPay's sandbox:"", 'This guide walks through the complete end-to-end flow for accepting a card payment using NexusPay — from securely collecting card details on the frontend to confirming the payment result on the backend.']","Based on the provided text, there is no information explaining how NexusPay determines which environment a request goes to.","By the API key prefix, not the URL. Keys starting with sk_test_ route to sandbox, sk_live_ to live — both use the same base URL.",1.0,0.0,0.9999999999666667,1.0
What happens to active subscriptions if I delete a customer?,"['**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:', '### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first.', '**Always cancel all active subscriptions before deleting a customer:**', 'Deleting a customer does not affect historical payment records — past payments remain accessible via their payment IDs.', 'The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:']",Deleting a customer does not automatically cancel their active subscriptions.,Deleting a customer does not cancel their active subscriptions. You must cancel subscriptions explicitly before deleting the customer.,1.0,0.8775094675867852,0.99999999998,1.0
